Brand,Price,Horsepower,Fuel Efficiency,Encoded_Brand,Scaled_Horsepower,Scaled_Fuel_Efficiency,Scaled_Brand,Performance_Index
Brand E,58456,138,30.1,2,0.095,0.804,0.125,4153.8
Brand X,66884,389,34.0,8,0.7225,0.96,0.875,13226.0
Brand C,46162,417,25.6,6,0.7925,0.6240000000000001,0.625,10675.2
Brand X,77816,200,12.6,8,0.25,0.10399999999999998,0.875,2520.0
Brand E,99746,417,12.6,2,0.7925,0.10399999999999998,0.125,5254.2
Brand C,34281,397,33.9,6,0.7425,0.956,0.625,13458.3
Brand B,49012,250,28.1,5,0.375,0.7240000000000001,0.5,7025.0
Brand X,71598,372,19.7,8,0.68,0.38799999999999996,0.875,7328.4
Brand B,49863,449,24.4,5,0.8725,0.576,0.5,10955.599999999999
Brand W,91999,476,25.2,1,0.94,0.608,0.0,11995.199999999999
Brand B,55450,186,32.5,5,0.215,0.9,0.5,6045.0
Brand A,38366,233,13.9,4,0.3325,0.15600000000000003,0.375,3238.7000000000003
Brand C,69103,132,15.9,6,0.08,0.23600000000000002,0.625,2098.8
Brand C,31700,191,32.0,6,0.2275,0.88,0.625,6112.0
Brand D,70482,474,33.0,9,0.935,0.92,1.0,15642.0
Brand W,72835,244,31.5,1,0.36,0.86,0.0,7686.0
Brand W,35571,354,25.5,1,0.635,0.62,0.0,9027.0
Brand X,37908,205,14.4,8,0.2625,0.17600000000000002,0.875,2952.0
Brand A,49095,197,16.6,4,0.2425,0.26400000000000007,0.375,3270.2000000000003
Brand A,98767,330,10.3,4,0.575,0.012000000000000028,0.375,3399.0000000000005
Brand W,33667,283,27.7,1,0.4575,0.708,0.0,7839.099999999999
Brand C,47868,154,14.9,6,0.135,0.196,0.625,2294.6
Brand Y,32684,222,28.9,3,0.305,0.7559999999999999,0.25,6415.799999999999
Brand Z,95983,271,19.6,7,0.4275,0.38400000000000006,0.75,5311.6
Brand X,89267,204,24.9,8,0.26,0.596,0.875,5079.599999999999
Brand X,33850,408,30.5,8,0.77,0.82,0.875,12444.0
Brand W,84671,152,16.5,1,0.13,0.26,0.0,2508.0
Brand W,54081,212,18.0,1,0.28,0.32,0.0,3816.0
Brand C,57404,357,34.2,6,0.6425,0.9680000000000001,0.625,12209.400000000001
Brand Z,76085,477,15.8,7,0.9425,0.23200000000000004,0.75,7536.6
Brand E,94629,414,25.3,2,0.785,0.612,0.125,10474.2
Brand C,39722,415,10.2,6,0.7875,0.007999999999999972,0.625,4233.0
Brand Z,75163,176,17.9,7,0.19,0.31599999999999995,0.75,3150.3999999999996
Brand A,82723,175,25.7,4,0.1875,0.628,0.375,4497.5
Brand D,69648,242,34.0,9,0.355,0.96,1.0,8228.0
Brand B,36457,119,31.3,5,0.0475,0.852,0.5,3724.7000000000003
Brand D,73006,175,24.4,9,0.1875,0.576,1.0,4270.0
Brand E,58809,487,18.4,2,0.9675,0.33599999999999997,0.125,8960.8
Brand C,60421,472,30.8,6,0.93,0.8320000000000001,0.625,14537.6
Brand B,60815,343,20.1,5,0.6075,0.4040000000000001,0.5,6894.3
Brand Y,82142,423,21.5,3,0.8075,0.46,0.25,9094.5
Brand Y,99304,449,25.8,3,0.8725,0.632,0.25,11584.2
Brand C,67139,196,16.9,6,0.24,0.27599999999999997,0.625,3312.3999999999996
Brand X,72244,209,17.0,8,0.2725,0.28,0.875,3553.0
Brand D,81681,137,18.5,9,0.0925,0.34,1.0,2534.5
Brand X,96377,102,12.1,8,0.005,0.08399999999999999,0.875,1234.2
Brand X,96461,214,28.5,8,0.285,0.74,0.875,6099.0
Brand W,49762,128,34.0,1,0.07,0.96,0.0,4352.0
Brand E,34119,453,17.6,2,0.8825,0.30400000000000005,0.125,7972.800000000001
Brand A,48537,181,23.4,4,0.2025,0.5359999999999999,0.375,4235.4
Brand X,94739,381,22.8,8,0.7025,0.512,0.875,8686.800000000001
Brand Y,41256,478,20.8,3,0.945,0.43200000000000005,0.25,9942.4
Brand D,80533,220,28.3,9,0.3,0.732,1.0,6226.0
Brand D,71517,393,34.2,9,0.7325,0.9680000000000001,1.0,13440.6
Brand A,73334,406,14.3,4,0.765,0.17200000000000004,0.375,5805.8
Brand W,50421,262,12.3,1,0.405,0.09200000000000003,0.0,3222.6000000000004
Brand B,48526,442,13.6,5,0.855,0.144,0.5,6011.2
Brand Y,72626,440,21.1,3,0.85,0.44400000000000006,0.25,9284.0
Brand Y,60759,138,29.2,3,0.095,0.768,0.25,4029.6
Brand A,33431,327,33.0,4,0.5675,0.92,0.375,10791.0
Brand D,64870,259,31.7,9,0.3975,0.868,1.0,8210.3
Brand B,70915,375,29.4,5,0.6875,0.7759999999999999,0.5,11025.0
Brand D,35527,203,34.0,9,0.2575,0.96,1.0,6902.0
Brand A,38953,121,25.9,4,0.0525,0.6359999999999999,0.375,3133.8999999999996
Brand W,49106,393,12.9,1,0.7325,0.11600000000000002,0.0,5069.7
Brand W,50976,350,29.7,1,0.625,0.7879999999999999,0.0,10395.0
Brand W,88322,371,31.7,1,0.6775,0.868,0.0,11760.699999999999
Brand Y,99437,364,13.1,3,0.66,0.12399999999999999,0.25,4768.4
Brand W,66089,133,15.1,1,0.0825,0.204,0.0,2008.3
Brand B,51585,372,17.5,5,0.68,0.3,0.5,6510.0
Brand Z,61643,206,16.2,7,0.265,0.24799999999999997,0.75,3337.2
Brand B,40277,264,26.3,5,0.41,0.652,0.5,6943.2
Brand E,49230,261,23.2,2,0.4025,0.528,0.125,6055.2
Brand D,99979,369,28.2,9,0.6725,0.728,1.0,10405.8
Brand A,52740,302,29.1,4,0.505,0.764,0.375,8788.2
Brand D,95643,160,11.1,9,0.15,0.043999999999999984,1.0,1776.0
Brand E,71590,349,20.9,2,0.6225,0.43599999999999994,0.125,7294.099999999999
Brand D,33755,249,34.8,9,0.3725,0.9919999999999999,1.0,8665.199999999999
Brand Y,41844,130,11.7,3,0.075,0.06799999999999998,0.25,1521.0
Brand Y,80517,167,18.2,3,0.1675,0.32799999999999996,0.25,3039.4
Brand W,49461,301,13.7,1,0.5025,0.14799999999999996,0.0,4123.7
Brand E,30667,239,15.0,2,0.3475,0.2,0.125,3585.0
Brand A,91753,196,25.5,4,0.24,0.62,0.375,4998.0
Brand B,78913,396,26.5,5,0.74,0.66,0.5,10494.0
Brand C,79572,455,27.0,6,0.8875,0.68,0.625,12285.0
Brand Y,82088,321,32.7,3,0.5525,0.9080000000000001,0.25,10496.7
Brand D,63779,498,34.3,9,0.995,0.9719999999999999,1.0,17081.399999999998
Brand A,30024,349,15.9,4,0.6225,0.23600000000000002,0.375,5549.1
Brand A,53227,451,26.9,4,0.8775,0.6759999999999999,0.375,12131.9
Brand Y,49842,412,14.5,3,0.78,0.18,0.25,5974.0
Brand X,58314,222,12.5,8,0.305,0.1,0.875,2775.0
Brand A,73887,407,10.5,4,0.7675,0.02,0.375,4273.5
Brand Y,55940,408,26.3,3,0.77,0.652,0.25,10730.4
Brand D,40672,188,28.1,9,0.22,0.7240000000000001,1.0,5282.8
Brand E,79349,426,18.7,2,0.815,0.348,0.125,7966.2
Brand C,52431,398,18.8,6,0.745,0.35200000000000004,0.625,7482.400000000001
Brand X,56322,225,14.3,8,0.3125,0.17200000000000004,0.875,3217.5
Brand C,31816,376,11.9,6,0.69,0.07600000000000001,0.625,4474.400000000001
Brand B,98141,412,31.9,5,0.78,0.8759999999999999,0.5,13142.8
Brand B,97568,380,13.9,5,0.7,0.15600000000000003,0.5,5282.0
Brand X,62821,250,10.4,8,0.375,0.016000000000000014,0.875,2600.0
Brand A,47132,104,33.9,4,0.01,0.956,0.375,3525.6
Brand E,68470,169,20.5,2,0.1725,0.42,0.125,3464.5
Brand Y,45260,444,29.5,3,0.86,0.78,0.25,13098.0
Brand D,49157,403,16.2,9,0.7575,0.24799999999999997,1.0,6528.599999999999
Brand D,36278,475,18.2,9,0.9375,0.32799999999999996,1.0,8645.0
Brand X,74454,133,14.1,8,0.0825,0.16399999999999998,0.875,1875.3
Brand Z,65710,128,21.0,7,0.07,0.44,0.75,2688.0
Brand X,52075,284,31.2,8,0.46,0.848,0.875,8860.8
Brand Y,66531,381,11.1,3,0.7025,0.043999999999999984,0.25,4229.099999999999
Brand A,46753,419,17.5,4,0.7975,0.3,0.375,7332.5
Brand E,36102,308,15.1,2,0.52,0.204,0.125,4650.8
Brand E,51627,269,22.9,2,0.4225,0.5159999999999999,0.125,6160.099999999999
Brand W,83049,174,33.5,1,0.185,0.94,0.0,5829.0
Brand E,45201,427,31.7,2,0.8175,0.868,0.125,13535.9
Brand C,44911,166,32.0,6,0.165,0.88,0.625,5312.0
Brand C,51087,117,33.4,6,0.0425,0.9359999999999999,0.625,3907.7999999999997
Brand A,77227,185,21.8,4,0.2125,0.47200000000000003,0.375,4033.0
Brand X,88092,428,14.2,8,0.82,0.16799999999999998,0.875,6077.599999999999
Brand E,90663,140,26.3,2,0.1,0.652,0.125,3682.0
Brand E,70215,176,28.3,2,0.19,0.732,0.125,4980.8
Brand Z,43713,336,32.9,7,0.59,0.9159999999999999,0.75,11054.4
Brand X,79645,192,16.0,8,0.23,0.24,0.875,3072.0
Brand Y,38803,420,25.6,3,0.8,0.6240000000000001,0.25,10752.0
Brand A,45787,228,27.9,4,0.32,0.716,0.375,6361.2
Brand B,64143,347,25.0,5,0.6175,0.6,0.5,8675.0
Brand Y,47139,194,31.4,3,0.235,0.856,0.25,6091.599999999999
Brand Z,46302,383,12.9,7,0.7075,0.11600000000000002,0.75,4940.7
Brand W,34830,315,33.2,1,0.5375,0.9280000000000002,0.0,10458.0
Brand Z,56555,200,31.1,7,0.25,0.8440000000000001,0.75,6220.0
Brand C,86313,387,14.4,6,0.7175,0.17600000000000002,0.625,5572.8
Brand Y,83440,252,14.7,3,0.38,0.18799999999999997,0.25,3704.3999999999996
Brand Z,44961,471,32.5,7,0.9275,0.9,0.75,15307.5
Brand W,64475,357,31.2,1,0.6425,0.848,0.0,11138.4
Brand B,63805,296,15.9,5,0.49,0.23600000000000002,0.5,4706.400000000001
Brand E,71848,472,20.1,2,0.93,0.4040000000000001,0.125,9487.2
Brand D,35720,218,22.6,9,0.295,0.504,1.0,4926.8
Brand X,57401,314,31.2,8,0.535,0.848,0.875,9796.8
Brand Z,32510,207,34.3,7,0.2675,0.9719999999999999,0.75,7100.099999999999
Brand E,83063,417,13.1,2,0.7925,0.12399999999999999,0.125,5462.7
Brand C,44528,239,16.3,6,0.3475,0.252,0.625,3895.7000000000003
Brand D,31065,405,14.9,9,0.7625,0.196,1.0,6034.5
Brand X,84752,397,31.2,8,0.7425,0.848,0.875,12386.4
Brand Z,32209,422,32.5,7,0.805,0.9,0.75,13715.0
Brand Y,51984,177,34.7,3,0.1925,0.9880000000000001,0.25,6141.900000000001
Brand D,37992,342,26.2,9,0.605,0.648,1.0,8960.4
Brand B,69943,274,15.8,5,0.435,0.23200000000000004,0.5,4329.2
Brand X,59626,265,23.7,8,0.4125,0.5479999999999999,0.875,6280.5
Brand E,31282,480,24.6,2,0.95,0.5840000000000001,0.125,11808.0
Brand W,76374,500,26.3,1,1.0,0.652,0.0,13150.0
Brand B,36798,461,31.9,5,0.9025,0.8759999999999999,0.5,14705.9
Brand E,86743,178,21.9,2,0.195,0.4759999999999999,0.125,3898.2
Brand D,72522,272,12.5,9,0.43,0.1,1.0,3400.0
Brand Y,59179,401,19.1,3,0.7525,0.36400000000000005,0.25,7659.1
Brand E,88828,317,16.0,2,0.5425,0.24,0.125,5072.0
Brand W,34099,395,12.4,1,0.7375,0.09600000000000002,0.0,4898.0
Brand X,54533,181,15.7,8,0.2025,0.22799999999999998,0.875,2841.7
Brand A,70835,302,11.5,4,0.505,0.06,0.375,3473.0
Brand D,96273,317,10.4,9,0.5425,0.016000000000000014,1.0,3296.8
Brand X,52627,431,28.5,8,0.8275,0.74,0.875,12283.5
Brand D,60078,115,10.3,9,0.0375,0.012000000000000028,1.0,1184.5
Brand W,83011,349,28.7,1,0.6225,0.748,0.0,10016.3
Brand C,51934,453,28.0,6,0.8825,0.72,0.625,12684.0
Brand Z,83121,482,10.5,7,0.955,0.02,0.75,5061.0
Brand X,76878,422,14.1,8,0.805,0.16399999999999998,0.875,5950.2
Brand C,93627,278,34.4,6,0.445,0.976,0.625,9563.199999999999
Brand A,91729,325,19.8,4,0.5625,0.392,0.375,6435.0
Brand C,95216,146,18.4,6,0.115,0.33599999999999997,0.625,2686.3999999999996
Brand W,80362,114,20.3,1,0.035,0.41200000000000003,0.0,2314.2000000000003
Brand Z,59416,140,12.6,7,0.1,0.10399999999999998,0.75,1764.0
Brand D,48545,198,19.2,9,0.245,0.368,1.0,3801.6
Brand W,60640,358,34.6,1,0.645,0.9840000000000001,0.0,12386.800000000001
Brand Z,94823,233,30.6,7,0.3325,0.8240000000000001,0.75,7129.8
Brand Y,39046,500,21.6,3,1.0,0.4640000000000001,0.25,10800.0
Brand W,80807,283,32.1,1,0.4575,0.884,0.0,9084.300000000001
Brand D,44152,431,13.5,9,0.8275,0.14,1.0,5818.5
Brand Z,52923,188,29.8,7,0.22,0.792,0.75,5602.400000000001
Brand B,49126,450,20.5,5,0.875,0.42,0.5,9225.0
Brand A,79871,261,33.8,4,0.4025,0.9519999999999998,0.375,8821.8
Brand Y,64565,294,16.2,3,0.485,0.24799999999999997,0.25,4762.8
Brand X,96840,208,27.7,8,0.27,0.708,0.875,5761.599999999999
Brand D,59222,407,11.9,9,0.7675,0.07600000000000001,1.0,4843.3
Brand B,38150,354,10.4,5,0.635,0.016000000000000014,0.5,3681.6
Brand E,37538,160,23.2,2,0.15,0.528,0.125,3712.0
Brand B,94784,134,18.1,5,0.085,0.32400000000000007,0.5,2425.4
Brand B,90681,376,15.8,5,0.69,0.23200000000000004,0.5,5940.8
Brand D,81189,457,21.2,9,0.8925,0.44799999999999995,1.0,9688.4
Brand B,33926,255,15.9,5,0.3875,0.23600000000000002,0.5,4054.5
Brand D,73434,438,31.0,9,0.845,0.84,1.0,13578.0
Brand B,50046,318,16.7,5,0.545,0.26799999999999996,0.5,5310.599999999999
Brand D,94527,183,14.8,9,0.2075,0.19200000000000003,1.0,2708.4
Brand W,94111,425,19.5,1,0.8125,0.38,0.0,8287.5
Brand A,31181,451,13.4,4,0.8775,0.136,0.375,6043.400000000001
Brand Z,37351,176,12.8,7,0.19,0.11200000000000003,0.75,2252.8
Brand Y,86551,128,29.4,3,0.07,0.7759999999999999,0.25,3763.2
Brand Y,66206,349,12.0,3,0.6225,0.08,0.25,4188.0
Brand A,71051,294,31.9,4,0.485,0.8759999999999999,0.375,9378.6
Brand C,48022,139,15.9,6,0.0975,0.23600000000000002,0.625,2210.1
Brand C,89476,339,30.3,6,0.5975,0.812,0.625,10271.7
Brand E,98144,222,24.4,2,0.305,0.576,0.125,5416.799999999999
Brand Z,57238,117,21.3,7,0.0425,0.452,0.75,2492.1
Brand E,93290,136,35.0,2,0.09,1.0,0.125,4760.0
Brand W,60377,200,14.7,1,0.25,0.18799999999999997,0.0,2940.0
Brand Z,39260,210,17.7,7,0.275,0.308,0.75,3717.0
Brand Z,34022,313,25.3,7,0.5325,0.612,0.75,7918.900000000001
Brand A,31662,203,22.5,4,0.2575,0.5,0.375,4567.5
Brand D,32407,356,12.1,9,0.64,0.08399999999999999,1.0,4307.599999999999
Brand C,92237,224,28.0,6,0.31,0.72,0.625,6272.0
Brand A,54785,140,23.5,4,0.1,0.54,0.375,3290.0
Brand W,34963,290,11.8,1,0.475,0.07200000000000002,0.0,3422.0
Brand A,54414,213,10.2,4,0.2825,0.007999999999999972,0.375,2172.6
Brand Z,87011,137,20.4,7,0.0925,0.4159999999999999,0.75,2794.7999999999997
Brand A,46033,476,17.1,4,0.94,0.28400000000000003,0.375,8139.6
Brand A,76676,371,28.2,4,0.6775,0.728,0.375,10462.199999999999
Brand E,40731,159,22.6,2,0.1475,0.504,0.125,3593.4
Brand Y,43186,291,30.7,3,0.4775,0.828,0.25,8933.699999999999
Brand A,95882,253,11.5,4,0.3825,0.06,0.375,2909.5
Brand W,34332,292,31.3,1,0.48,0.852,0.0,9139.6
Brand W,53068,378,13.7,1,0.695,0.14799999999999996,0.0,5178.599999999999
Brand A,68892,349,24.7,4,0.6225,0.588,0.375,8620.3
Brand C,71916,431,12.9,6,0.8275,0.11600000000000002,0.625,5559.900000000001
Brand E,88439,435,20.7,2,0.8375,0.428,0.125,9004.5
Brand B,64747,447,11.3,5,0.8675,0.052000000000000025,0.5,5051.1
Brand W,86496,367,19.1,1,0.6675,0.36400000000000005,0.0,7009.700000000001
Brand X,80716,349,13.6,8,0.6225,0.144,0.875,4746.4
Brand B,55385,340,33.3,5,0.6,0.9319999999999999,0.5,11321.999999999998
Brand D,59933,499,32.9,9,0.9975,0.9159999999999999,1.0,16417.1
Brand A,92412,275,25.5,4,0.4375,0.62,0.375,7012.5
Brand C,98367,461,16.5,6,0.9025,0.26,0.625,7606.5
Brand E,48129,130,29.4,2,0.075,0.7759999999999999,0.125,3822.0
Brand A,94547,183,24.2,4,0.2075,0.568,0.375,4428.599999999999
Brand W,95301,132,18.9,1,0.08,0.3559999999999999,0.0,2494.7999999999997
Brand Y,30001,465,21.2,3,0.9125,0.44799999999999995,0.25,9858.0
Brand D,36707,332,26.9,9,0.58,0.6759999999999999,1.0,8930.8
Brand D,33309,365,11.8,9,0.6625,0.07200000000000002,1.0,4307.0
Brand Y,36337,359,29.4,3,0.6475,0.7759999999999999,0.25,10554.6
Brand D,97053,304,21.0,9,0.51,0.44,1.0,6384.0
Brand B,58528,234,10.0,5,0.335,0.0,0.5,2340.0
Brand D,31838,431,26.1,9,0.8275,0.644,1.0,11249.1
Brand C,75088,381,18.3,6,0.7025,0.332,0.625,6972.3
Brand E,68508,231,28.1,2,0.3275,0.7240000000000001,0.125,6491.1
Brand D,57521,259,30.1,9,0.3975,0.804,1.0,7795.900000000001
Brand X,90593,474,34.1,8,0.935,0.9640000000000001,0.875,16163.400000000001
Brand W,65049,189,27.6,1,0.2225,0.7040000000000001,0.0,5216.400000000001
Brand B,44761,452,16.2,5,0.88,0.24799999999999997,0.5,7322.4
Brand E,94754,472,30.6,2,0.93,0.8240000000000001,0.125,14443.2
Brand X,41610,384,13.2,8,0.71,0.12799999999999997,0.875,5068.799999999999
Brand B,96605,109,24.5,5,0.0225,0.58,0.5,2670.5
Brand C,92009,361,28.4,6,0.6525,0.736,0.625,10252.4
Brand A,49750,175,23.1,4,0.1875,0.524,0.375,4042.5000000000005
Brand A,75846,375,12.5,4,0.6875,0.1,0.375,4687.5
Brand D,78270,169,30.5,9,0.1725,0.82,1.0,5154.5
Brand Z,52276,396,19.6,7,0.74,0.38400000000000006,0.75,7761.6
Brand X,66744,224,12.3,8,0.31,0.09200000000000003,0.875,2755.2000000000003
Brand A,48512,163,19.5,4,0.1575,0.38,0.375,3178.5
Brand D,67754,244,20.1,9,0.36,0.4040000000000001,1.0,4904.400000000001
Brand C,85226,452,11.3,6,0.88,0.052000000000000025,0.625,5107.6
Brand Y,44910,274,21.1,3,0.435,0.44400000000000006,0.25,5781.400000000001
Brand E,91232,437,30.6,2,0.8425,0.8240000000000001,0.125,13372.2
Brand A,34537,246,25.4,4,0.365,0.616,0.375,6248.4
Brand A,31600,482,29.1,4,0.955,0.764,0.375,14026.2
Brand Y,52864,102,21.4,3,0.005,0.45599999999999996,0.25,2182.7999999999997
Brand E,66118,340,27.9,2,0.6,0.716,0.125,9486.0
Brand B,98850,406,15.8,5,0.765,0.23200000000000004,0.5,6414.8
Brand C,49858,102,25.4,6,0.005,0.616,0.625,2590.7999999999997
Brand E,49241,218,20.2,2,0.295,0.408,0.125,4403.599999999999
Brand C,59276,342,17.7,6,0.605,0.308,0.625,6053.4
Brand C,50206,294,16.5,6,0.485,0.26,0.625,4851.0
Brand C,32898,258,22.9,6,0.395,0.5159999999999999,0.625,5908.2
Brand Y,85356,335,24.6,3,0.5875,0.5840000000000001,0.25,8241.0
Brand X,64204,477,34.8,8,0.9425,0.9919999999999999,0.875,16599.6
Brand Y,34756,157,30.2,3,0.1425,0.8079999999999999,0.25,4741.4
Brand D,72671,169,26.5,9,0.1725,0.66,1.0,4478.5
Brand Z,46419,275,31.6,7,0.4375,0.8640000000000001,0.75,8690.0
Brand X,78019,433,30.0,8,0.8325,0.8,0.875,12990.0
Brand W,42693,299,28.5,1,0.4975,0.74,0.0,8521.5
Brand W,65817,345,23.3,1,0.6125,0.532,0.0,8038.5
Brand Y,55438,120,33.2,3,0.05,0.9280000000000002,0.25,3984.0000000000005
Brand W,72982,406,27.5,1,0.765,0.7,0.0,11165.0
Brand B,85253,332,24.4,5,0.58,0.576,0.5,8100.799999999999
Brand W,55823,174,18.3,1,0.185,0.332,0.0,3184.2000000000003
Brand C,75343,361,34.5,6,0.6525,0.98,0.625,12454.5
Brand Z,99025,342,12.0,7,0.605,0.08,0.75,4104.0
Brand A,83617,249,10.3,4,0.3725,0.012000000000000028,0.375,2564.7000000000003
Brand W,70713,271,19.8,1,0.4275,0.392,0.0,5365.8
Brand Z,78792,301,17.7,7,0.5025,0.308,0.75,5327.7
Brand D,71902,453,24.5,9,0.8825,0.58,1.0,11098.5
Brand D,51423,100,10.2,9,0.0,0.007999999999999972,1.0,1019.9999999999999
Brand X,65501,269,25.0,8,0.4225,0.6,0.875,6725.0
Brand Z,94683,407,30.4,7,0.7675,0.816,0.75,12372.8
Brand B,56270,378,31.7,5,0.695,0.868,0.5,11982.6
Brand B,83684,131,18.6,5,0.0775,0.3440000000000001,0.5,2436.6000000000004
Brand C,38896,431,34.1,6,0.8275,0.9640000000000001,0.625,14697.1
Brand Y,50761,184,16.8,3,0.21,0.272,0.25,3091.2000000000003
Brand Y,33463,424,11.5,3,0.81,0.06,0.25,4876.0
Brand W,88506,261,19.4,1,0.4025,0.37599999999999995,0.0,5063.4
Brand A,44379,170,26.8,4,0.175,0.672,0.375,4556.0
Brand A,86056,100,18.3,4,0.0,0.332,0.375,1830.0
Brand B,31436,114,27.4,5,0.035,0.696,0.5,3123.6
Brand D,62879,128,14.3,9,0.07,0.17200000000000004,1.0,1830.4
Brand E,44018,476,24.1,2,0.94,0.5640000000000001,0.125,11471.6
Brand C,49594,175,24.6,6,0.1875,0.5840000000000001,0.625,4305.0
Brand Y,58403,198,26.3,3,0.245,0.652,0.25,5207.400000000001
Brand D,45321,436,19.5,9,0.84,0.38,1.0,8502.0
Brand D,47666,270,20.7,9,0.425,0.428,1.0,5589.0
Brand C,76017,132,22.9,6,0.08,0.5159999999999999,0.625,3022.7999999999997
Brand A,89863,340,29.7,4,0.6,0.7879999999999999,0.375,10098.0
Brand C,65121,400,29.1,6,0.75,0.764,0.625,11640.0
Brand A,33376,472,11.2,4,0.93,0.04799999999999997,0.375,5286.4
Brand B,39241,346,10.8,5,0.615,0.03200000000000003,0.5,3736.8
Brand W,76602,180,29.0,1,0.2,0.76,0.0,5220.0
Brand E,46762,131,33.4,2,0.0775,0.9359999999999999,0.125,4375.4
Brand A,78386,408,29.0,4,0.77,0.76,0.375,11832.0
Brand W,54810,210,20.0,1,0.275,0.4,0.0,4200.0
Brand E,36639,115,18.8,2,0.0375,0.35200000000000004,0.125,2162.0
Brand B,48905,484,20.7,5,0.96,0.428,0.5,10018.8
Brand E,90904,497,16.1,2,0.9925,0.24400000000000005,0.125,8001.700000000001
Brand W,99480,381,16.4,1,0.7025,0.25599999999999995,0.0,6248.4
Brand E,86931,226,17.3,2,0.315,0.29200000000000004,0.125,3909.8
Brand X,30973,329,33.9,8,0.5725,0.956,0.875,11153.1
Brand C,45142,234,10.7,6,0.335,0.027999999999999973,0.625,2503.7999999999997
Brand Z,47384,293,15.8,7,0.4825,0.23200000000000004,0.75,4629.400000000001
Brand Z,64485,378,25.5,7,0.695,0.62,0.75,9639.0
